Date mutation,Valeur Fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Type local,Surface reelle bati,Nombre pieces principales
28/02/2018 00:00,318250,12,RUE,671,BERANGER,92100,BOULOGNE-BILLANCOURT,92,12,AF,52,Appartement,45,2
07/03/2018 00:00,321000,21,RUE,3185,DE L EST,92100,BOULOGNE-BILLANCOURT,92,12,O,31,Appartement,39,2
01/03/2018 00:00,445000,6,RUE,5120,LAZARE HOCHE,92100,BOULOGNE-BILLANCOURT,92,12,Q,119,Appartement,52,2
16/03/2018 00:00,394730,26,RUE,8561,DE SILLY,92100,BOULOGNE-BILLANCOURT,92,12,AC,112,Appartement,39,2
07/03/2018 00:00,149000,55,RUE,3150,EMILE LANDRIN,92100,BOULOGNE-BILLANCOURT,92,12,AR,89,Appartement,27,2
16/03/2018 00:00,491550,14,RUE,3540,DU FIEF,92100,BOULOGNE-BILLANCOURT,92,12,BQ,174,Appartement,56,2
22/03/2018 00:00,190000,50,RUE,4140,GEORGES SOREL,92100,BOULOGNE-BILLANCOURT,92,12,AO,88,Appartement,40,2
12/02/2018 00:00,427900,177,RUE,450,DE VERSAILLES,92410,VILLE-D'AVRAY,92,77,AL,186,Appartement,90,2
07/03/2018 00:00,192000,3,RUE,2570,DIAZ,92100,BOULOGNE-BILLANCOURT,92,12,AM,57,Appartement,25,2
27/03/2018 00:00,304000,32,RUE,170,DES BINELLES,92310,SEVRES,92,72,AH,74,Appartement,59,2
30/03/2018 00:00,320000,19,RUE,3185,DE L EST,92100,BOULOGNE-BILLANCOURT,92,12,O,32,Appartement,38,2
30/03/2018 00:00,260800,49,RUE,4140,GEORGES SOREL,92100,BOULOGNE-BILLANCOURT,92,12,AO,117,Appartement,30,2
29/03/2018 00:00,369000,15,RUE,70,ALFRED LAURANT,92100,BOULOGNE-BILLANCOURT,92,12,L,21,Appartement,45,2
29/03/2018 00:00,390000,41,RUE,7195,DES PEUPLIERS,92100,BOULOGNE-BILLANCOURT,92,12,BQ,31,Appartement,46,2
04/04/2018 00:00,296400,19,RUE,8540,DE SEINE,92100,BOULOGNE-BILLANCOURT,92,12,BK,3,Appartement,38,2
27/03/2018 00:00,209000,4,RUE,1400,PIERRE MIDRIN,92310,SEVRES,92,72,AN,553,Appartement,40,2
12/04/2018 00:00,384000,2,RUE,470,DES CAPUCINS,92190,MEUDON,92,48,AC,59,Appartement,52,2
30/03/2018 00:00,186300,129,RUE,712,DE BILLANCOURT,92100,BOULOGNE-BILLANCOURT,92,12,AO,10,Appartement,28,2
28/03/2018 00:00,265000,19,RUE,8540,DE SEINE,92100,BOULOGNE-BILLANCOURT,92,12,BK,3,Appartement,40,2
16/04/2018 00:00,349500,9,RUE,550,DE GARCHES,92210,SAINT-CLOUD,92,64,AO,488,Appartement,52,2
16/04/2018 00:00,280000,9,RUE,690,DE LA RANGEE,92380,GARCHES,92,33,AH,638,Appartement,38,2
12/04/2018 00:00,420000,56,RUE,9130,DES TILLEULS,92100,BOULOGNE-BILLANCOURT,92,12,K,109,Appartement,65,2
17/04/2018 00:00,288000,2,RUE,470,DES CAPUCINS,92190,MEUDON,92,48,AC,59,Appartement,43,2
30/04/2018 00:00,345000,15,RUE,499,DES CHAILLOTS,92190,MEUDON,92,48,AK,601,Appartement,55,2
12/04/2018 00:00,416120,7,RUE,8555,DE SEVRES,92100,BOULOGNE-BILLANCOURT,92,12,AE,1,Appartement,43,2
18/04/2018 00:00,180000,25,RUE,470,DES JARDINS,92380,GARCHES,92,33,AH,290,Appartement,32,2
